District,Province,Year,Broadband Internet Score,Mobile Internet Score,Key Structure Internet Access Score,Accessibility to Hospitals Score,Accessibility to Schools Score,Railway Heatwave Score,Road Heatwave Score,Road Flood Score,Railway Flood Score,Emissions Normalized Score,Air Quality Score,Deforestation Score,Emissions Score,Luminosity per Capita Score,Luminosity per Area Score,Built Area Development Score,Tourism Score,Agricultural Land Score,Infrastructure Score,Livability Score,Prosperity Score,canonical_Province,canonical_District,local_taxes,fees_charges,licences,levies,permits,com_ventures,total_OSR,osr_source_Province,osr_source_District,osr_match_status,osr_match_notes
Chililabombwe,Copperbelt,2021,44.0,57.99999999999999,32.0,41.0,41.0,53.0,59.0,59.0,51.0,4.0,6.0,81.0,29.0,18.0,92.0,10.0,45.0,9.0,43.2,42.75,34.8,Copperbelt,Chililabombwe,21163342.0,29715561.0,614700.0,8332346.0,3670282.0,0.0,63496231.0,Copperbelt,Chililabombwe Municipal Council,matched,council suffix removed: Chililabombwe Municipal Council -> Chililabombwe
Chilubi,Northern,2021,44.0,99.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,100.0,74.0,37.0,99.0,47.0,4.0,86.0,45.0,19.0,51.4,66.5,40.2,Northern,Chilubi,16043.0,244659.0,3320.0,68624.0,1300.0,-4589.0,329357.0,Northern ,Chilubi,matched,
Chingola,Copperbelt,2021,44.0,48.0,84.0,41.0,41.0,53.0,59.0,59.0,51.0,7.000000000000001,4.0,62.0,24.0,11.0,90.0,14.000000000000002,45.0,21.0,51.6,39.88,36.2,Copperbelt,Chingola,37386901.0,8159284.0,623999.0,2225284.0,4002407.0,0.0,52397875.0,Copperbelt,Chingola Municipal Council,matched,council suffix removed: Chingola Municipal Council -> Chingola
Chinsali,Muchiga,2021,44.0,43.0,84.0,41.0,41.0,53.0,59.0,59.0,51.0,96.0,94.0,6.0,94.0,48.0,32.0,38.0,45.0,39.0,50.6,64.0,40.4,Muchinga,Chinsali,446613.0,2493252.0,558632.0,25314.0,422295.0,-7870.0,3938236.0,Muchinga,Chinsali Municipal Council,matched,council suffix removed: Chinsali Municipal Council -> Chinsali; score province normalized: Muchiga -> Muchinga
Chipangali,Eastern,2021,44.0,40.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,66.0,87.0,12.0,71.0,13.0,17.0,63.0,45.0,68.0,39.6,57.25,41.2,Eastern,Chipangali,12005.0,694146.0,32663.0,322149.0,9560.0,162969.0,1233492.0,Eastern,Chipangali,matched,
Chipata,Eastern,2021,44.0,45.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,29.0,78.0,56.99999999999999,43.0,1.0,87.0,16.0,45.0,78.0,40.6,53.62,45.4,Eastern,Chipata,5997415.0,7579018.0,2303691.0,21395.0,5479613.0,0.0,21381132.0,Eastern,Chipata City Council,matched,council suffix removed: Chipata City Council -> Chipata
Chipili,Luapula,2021,44.0,25.0,84.0,41.0,41.0,53.0,59.0,59.0,51.0,85.0,51.0,25.0,84.0,71.0,18.0,62.0,45.0,5.0,47.0,58.38,40.2,Luapula,Chipili,710.0,692821.0,1537.0,6480.0,250.0,67863.0,769661.0,Luapula,Chipili,matched,
Chirundu,Lusaka,2021,44.0,53.0,84.0,41.0,41.0,53.0,59.0,59.0,51.0,95.0,66.0,85.0,84.0,27.0,71.0,32.0,45.0,59.0,52.6,69.0,46.8,Lusaka,Chirundu,93816.0,7210836.0,91625.0,121641.0,903469.0,0.0,8421387.0,Southern,Chirundu,matched,OSR province differs from score/admin geography: Southern -> Lusaka
Chisamba,Central,2021,44.0,42.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,94.0,75.0,74.0,91.0,41.0,47.0,33.0,45.0,87.0,40.0,69.5,50.6,Central,Chisamba,108188.0,3656385.0,145204.0,350710.0,53915.0,26789.0,4341191.0,Central,Chisamba,matched,
Chitambo,Central,2021,44.0,93.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,93.0,87.0,28.000000000000004,95.0,82.0,14.000000000000002,66.0,45.0,49.0,50.2,65.62,51.2,Central,Chitambo,6220.0,746222.0,70041.0,164527.0,11109.0,-42966.0,955153.0,Central,Chitambo,matched,
Choma,Southern,2021,44.0,43.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,83.0,37.0,25.0,83.0,22.0,51.0,7.000000000000001,45.0,85.0,40.2,56.25,42.0,Southern,Choma,3681206.0,4736165.0,570707.0,1645754.0,1020323.0,0.0,11654155.0,Southern,Choma Municipal Council,matched,council suffix removed: Choma Municipal Council -> Choma
Chongwe,Lusaka,2021,89.0,51.0,65.0,41.0,41.0,53.0,59.0,59.0,51.0,44.0,18.0,64.0,49.0,30.0,95.0,37.0,45.0,76.0,57.4,49.62,56.6,Lusaka,Chongwe,4056495.0,14305398.0,350200.0,5056550.0,1437409.0,169801.0,25375853.0,Lusaka,Chongwe Municipal Council,matched,council suffix removed: Chongwe Municipal Council -> Chongwe
Gwembe,Southern,2021,44.0,7.000000000000001,32.0,41.0,41.0,53.0,59.0,59.0,51.0,95.0,63.0,52.0,90.0,55.00000000000001,34.0,14.000000000000002,45.0,50.0,33.0,65.25,39.6,Southern,Gwembe,56545.0,343577.0,8850.0,543518.0,28600.0,138146.0,1119236.0,Southern,Gwembe,matched,
Ikelenge,North-Western,2021,44.0,26.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,43.0,11.0,33.0,49.0,53.0,16.0,35.0,45.0,13.0,36.8,44.75,32.4,North-Western,Ikelenge,8468.0,230775.0,19864.0,234047.0,1950.0,0.0,495104.0,North Western,Ikelenge,matched,province normalized: North Western -> North-Western
Isoka,Muchiga,2021,44.0,27.0,84.0,41.0,41.0,53.0,59.0,59.0,51.0,32.0,96.0,3.0,31.0,50.0,26.0,21.0,45.0,22.0,47.4,48.0,32.8,Muchinga,Isoka,283906.0,1729881.0,4840.0,217678.0,403701.0,311782.0,2951788.0,Muchinga,Isoka,matched,score province normalized: Muchiga -> Muchinga
Itezhi-Tezhi,Central,2021,44.0,46.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,98.0,40.0,66.0,100.0,92.0,50.0,6.0,45.0,83.0,40.8,65.75,55.2,Central,Itezhi-Tezhi,1964130.0,1060822.0,216354.0,245769.0,99128.0,0.0,3586203.0,Central,Itezhi-tezhi,matched,score district normalized: Itezhi-Tezhi -> Itezhi-tezhi
Kabompo,North-Western,2021,44.0,56.99999999999999,84.0,41.0,41.0,53.0,59.0,59.0,51.0,97.0,42.0,49.0,95.0,76.0,9.0,35.0,45.0,21.0,53.4,63.12,37.2,North-Western,Kabompo,17727.0,571786.0,8342.0,1029422.0,56647.0,0.0,1683924.0,North Western,Kabompo,matched,province normalized: North Western -> North-Western
Kabwe,Central,2021,91.0,42.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,91.0,39.0,40.0,82.0,10.0,92.0,13.0,45.0,65.0,49.4,59.25,45.0,Central,Kabwe,9468195.0,6437159.0,535814.0,1640874.0,5261632.0,0.0,23343674.0,Central,Kabwe Municipal Council,matched,council suffix removed: Kabwe Municipal Council -> Kabwe
Kafue,Lusaka,2021,91.0,61.0,65.0,41.0,41.0,53.0,59.0,59.0,51.0,98.0,33.0,84.0,96.0,43.0,88.0,36.0,45.0,63.0,59.8,66.62,55.0,Lusaka,Kafue,2478096.0,13624286.0,32595.0,1615577.0,1561551.0,0.0,19312105.0,Lusaka,Kafue,matched,
Kalabo,Western,2021,44.0,95.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,95.0,33.0,53.0,96.0,67.0,4.0,21.0,45.0,83.0,50.6,62.38,44.0,Western,Kalabo,28325.0,273039.0,10154.0,199333.0,46604.0,503718.0,1061173.0,Western,Kalabo,matched,
Kalomo,Southern,2021,44.0,67.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,57.99999999999999,55.00000000000001,49.0,51.0,36.0,37.0,5.0,45.0,99.0,45.0,54.38,44.4,Southern,Kalomo,333044.0,3115465.0,30410.0,503910.0,202873.0,0.0,4185702.0,Southern,Kalomo,matched,
Kalulushi,Copperbelt,2021,44.0,36.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,47.0,3.0,46.0,62.0,17.0,95.0,28.000000000000004,45.0,8.0,38.8,47.5,38.6,Copperbelt,Kalulushi,53232598.0,6398169.0,1059413.0,236124.0,966139.0,65793.0,61958236.0,Copperbelt,Kalulushi Municipal Council,matched,council suffix removed: Kalulushi Municipal Council -> Kalulushi
Kalumbila,North-Western,2021,96.0,74.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,26.0,29.0,54.0,8.0,78.0,51.0,88.0,45.0,15.0,56.8,42.38,55.4,North-Western,Kalumbila,63788543.0,2265012.0,195485.0,1014232.0,293370.0,0.0,67556642.0,North Western,Kalumbila,matched,province normalized: North Western -> North-Western
Kanchibiya,Muchiga,2021,44.0,7.000000000000001,32.0,41.0,41.0,53.0,59.0,59.0,51.0,62.0,85.0,52.0,56.00000000000001,76.0,36.0,91.0,45.0,56.00000000000001,33.0,59.62,60.8,Muchinga,Kanchibiya,3766.0,520275.0,2308.0,13226.0,13619.0,0.0,553194.0,Muchinga,Kanchibiya,matched,score province normalized: Muchiga -> Muchinga
Kaoma,Western,2021,44.0,55.00000000000001,32.0,41.0,41.0,53.0,59.0,59.0,51.0,61.0,37.0,54.0,54.0,59.0,17.0,11.0,45.0,39.0,42.6,53.5,34.2,Western,Kaoma,61536.0,1332377.0,85907.0,633717.0,345570.0,0.0,2459107.0,Western,Kaoma,matched,
Kapiri Mposhi,Central,2021,44.0,35.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,88.0,70.0,75.0,91.0,31.0,34.0,19.0,45.0,96.0,38.6,68.25,45.0,Central,Kapiri Mposhi,4631118.0,5088765.0,76054.0,1940092.0,305488.0,1957225.0,13998742.0,Central,Kapiri Mposhi,matched,
Kaputa,Northern,2021,44.0,18.0,84.0,41.0,41.0,53.0,59.0,59.0,51.0,18.0,63.0,21.0,17.0,56.99999999999999,41.0,18.0,45.0,21.0,45.6,42.62,36.4,Northern,Kaputa,20561.0,560471.0,500.0,114693.0,79270.0,37470.0,812965.0,Northern ,Kaputa,matched,
Kasama,Northern,2021,44.0,30.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,51.0,72.0,28.000000000000004,37.0,40.0,49.0,32.0,45.0,34.0,37.6,51.25,40.0,Northern,Kasama,2224769.0,7472580.0,317739.0,1621714.0,818911.0,0.0,12455713.0,Northern,Kasama Municipal Council,matched,council suffix removed: Kasama Municipal Council -> Kasama
Kasempa,North-Western,2021,44.0,45.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,36.0,62.0,48.0,10.0,97.0,28.000000000000004,56.99999999999999,45.0,47.0,40.6,47.25,54.8,North-Western,Kasempa,546374.0,1117019.0,9150.0,346785.0,85172.0,0.0,2104500.0,North Western,Kasempa,matched,province normalized: North Western -> North-Western
Kasenengwa,Eastern,2021,44.0,59.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,25.0,85.0,44.0,38.0,6.0,13.0,89.0,45.0,79.0,43.4,51.75,46.4,Eastern,Kasenengwa,5108.0,449937.0,12255.0,212643.0,51887.0,0.0,731830.0,Eastern,Kasenengwa,matched,
Katete,Eastern,2021,44.0,37.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,48.0,86.0,80.0,53.0,7.000000000000001,40.0,46.0,45.0,88.0,39.0,61.12,45.2,Eastern,Katete,332498.0,1913879.0,31105.0,441642.0,248923.0,61852.0,3029899.0,Eastern,Katete,matched,
Kawambwa,Luapula,2021,44.0,25.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,33.0,55.00000000000001,57.99999999999999,22.0,66.0,52.0,55.00000000000001,45.0,23.0,36.6,48.75,48.2,Luapula,Kawambwa,361756.0,2273865.0,183126.0,6072.0,159128.0,8527.0,2992474.0,Luapula,Kawambwa,matched,
Kazungula,Southern,2021,44.0,56.99999999999999,84.0,41.0,41.0,53.0,59.0,59.0,51.0,76.0,43.0,87.0,81.0,80.0,29.0,21.0,45.0,95.0,53.4,63.62,54.0,Southern,Kazungula,337208.0,9295822.0,32850.0,558034.0,144723.0,-97507.0,10271130.0,Southern,Kazungula,matched,
Kitwe,Copperbelt,2021,90.0,33.0,68.0,41.0,41.0,53.0,59.0,59.0,51.0,6.0,2.0,60.0,34.0,3.0,99.0,2.0,45.0,16.0,54.6,40.5,33.0,Copperbelt,Kitwe,50033282.0,53015172.0,1165666.0,2734090.0,11401812.0,0.0,118350022.0,Copperbelt,Kitwe City Council,matched,council suffix removed: Kitwe City Council -> Kitwe
Lavushimanda,Muchiga,2021,44.0,26.0,84.0,41.0,41.0,53.0,59.0,59.0,51.0,97.0,87.0,35.0,99.0,99.0,25.0,86.0,45.0,41.0,47.2,67.5,59.2,Muchinga,Lavushimanda,2120.0,220392.0,1945.0,20809.0,27545.0,0.0,272811.0,Muchinga,Lavushimanda,matched,score province normalized: Muchiga -> Muchinga
Limulunga,Western,2021,44.0,7.000000000000001,32.0,41.0,41.0,53.0,59.0,59.0,51.0,96.0,32.0,80.0,91.0,59.0,6.0,3.0,45.0,50.0,33.0,65.12,32.6,Western,Limulunga,17810.0,127636.0,14485.0,211816.0,70635.0,0.0,442382.0,Western,Limulunga,matched,
Livingstone,Southern,2021,44.0,56.00000000000001,32.0,41.0,41.0,53.0,59.0,59.0,51.0,14.000000000000002,11.0,95.0,45.0,6.0,94.0,2.0,45.0,23.0,42.8,48.38,34.0,Southern,Livingstone,19698199.0,6416477.0,555645.0,4565020.0,3592758.0,0.0,34828099.0,Southern,Livingstone City Council,matched,council suffix removed: Livingstone City Council -> Livingstone
Luampa,Western,2021,44.0,97.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,81.0,34.0,50.0,85.0,94.0,7.000000000000001,67.0,45.0,22.0,51.0,59.0,47.0,Western,Luampa,11553.0,275714.0,23895.0,252470.0,0.0,0.0,563632.0,Western,Luampa,matched,
Luangwa,Lusaka,2021,44.0,53.0,84.0,41.0,41.0,53.0,59.0,59.0,51.0,99.0,93.0,62.0,97.0,83.0,42.0,40.0,45.0,29.0,52.6,71.62,47.8,Lusaka,Luangwa,131955.0,1004192.0,172121.0,1106179.0,76921.0,0.0,2491368.0,Lusaka,Luangwa,matched,
Luano,Central,2021,44.0,32.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,98.0,83.0,73.0,98.0,83.0,13.0,60.0,45.0,64.0,38.0,71.75,53.0,Central,Luano,961107.0,2692838.0,16548.0,76167.0,26644.0,20716.0,3794020.0,Central,Luano,matched,
Luanshya,Copperbelt,2021,44.0,82.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,19.0,6.0,29.0,44.0,6.0,92.0,3.0,45.0,7.000000000000001,48.0,40.0,30.6,Copperbelt,Luanshya,26450594.0,6629701.0,961082.0,68878.0,1743173.0,92581.0,35946009.0,Copperbelt,Luanshya Municipal Council,matched,council suffix removed: Luanshya Municipal Council -> Luanshya
Lufwanyama,Copperbelt,2021,44.0,48.0,84.0,41.0,41.0,53.0,59.0,59.0,51.0,21.0,18.0,56.00000000000001,9.0,71.0,35.0,85.0,45.0,29.0,51.6,40.75,53.0,Copperbelt,Lufwanyama,7162197.0,3219565.0,156431.0,520623.0,162129.0,0.0,11220945.0,Copperbelt,Lufwanyama,matched,
Lukulu,Western,2021,44.0,7.000000000000001,84.0,41.0,41.0,53.0,59.0,59.0,51.0,88.0,39.0,54.0,91.0,71.0,5.0,15.0,45.0,57.99999999999999,43.4,61.75,38.8,Western,Lukulu,5985.0,469135.0,7044.0,962315.0,13480.0,0.0,1457959.0,Western,Lukulu,matched,
Lumezi,Eastern,2021,44.0,71.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,50.0,90.0,8.0,36.0,62.0,27.0,66.0,45.0,74.0,45.8,50.75,54.8,Eastern,Lumezi,6565.0,493973.0,2360.0,122321.0,9879.0,0.0,635098.0,Eastern,Lumezi,matched,
Lundazi,Eastern,2021,44.0,19.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,37.0,92.0,2.0,51.0,2.0,55.00000000000001,33.0,45.0,86.0,35.4,50.5,44.2,Eastern,Lundazi,171443.0,2321242.0,21277.0,444253.0,342432.0,84410.0,3385057.0,Eastern,Lundazi,matched,
Lunga,Luapula,2021,44.0,7.000000000000001,84.0,41.0,41.0,53.0,59.0,59.0,51.0,100.0,78.0,88.0,100.0,73.0,7.000000000000001,84.0,45.0,4.0,43.4,73.5,42.6,Luapula,Lunga,2100.0,139735.0,0.0,53877.0,0.0,0.0,195712.0,Luapula,Lunga,matched,
Lunte,Northern,2021,44.0,7.000000000000001,84.0,41.0,41.0,53.0,59.0,59.0,51.0,46.0,68.0,72.0,35.0,72.0,21.0,92.0,45.0,8.0,43.4,55.38,47.6,Northern,Lunte,3500.0,135057.0,4800.0,2200.0,1150.0,16545.0,163252.0,Northern ,Lunte,matched,
Lupososhi,Northern,2021,44.0,7.000000000000001,84.0,41.0,41.0,53.0,59.0,59.0,51.0,94.0,62.0,64.0,89.0,51.0,16.0,97.0,45.0,3.0,43.4,66.38,42.4,Northern,Lupososhi,1005.0,689269.0,901.0,20955.0,4688.0,0.0,716818.0,Northern ,Lupososhi,matched,
Lusaka,Lusaka,2021,92.0,42.0,63.0,41.0,41.0,53.0,59.0,59.0,51.0,1.0,1.0,87.0,23.0,4.0,100.0,0.0,45.0,34.0,55.8,41.75,36.6,Lusaka,Lusaka,87638102.0,77102688.0,3392653.0,45380698.0,25475099.0,3230000.0,242219240.0,Lusaka,Lusaka City Council,matched,council suffix removed: Lusaka City Council -> Lusaka
Lusangazi,Eastern,2021,44.0,16.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,74.0,87.0,23.0,74.0,39.0,37.0,83.0,45.0,49.0,34.8,60.0,50.6,Eastern,Lusangazi,6530.0,1691405.0,32595.0,119249.0,33074.0,0.0,1882853.0,Eastern,Lusangazi,matched,
Luwingu,Northern,2021,44.0,99.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,89.0,66.0,70.0,87.0,53.0,21.0,49.0,45.0,11.0,51.4,66.75,35.8,Northern,Luwingu,261698.0,376701.0,28598.0,140829.0,94494.0,29693.0,932013.0,Northern ,Luwingu,matched,
Mafinga,Muchiga,2021,44.0,88.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,23.0,95.0,14.000000000000002,26.0,46.0,25.0,18.0,45.0,38.0,49.2,47.5,34.4,Muchinga,Mafinga,5820.0,446369.0,1490.0,72359.0,28050.0,0.0,554088.0,Muchinga,Mafinga,matched,score province normalized: Muchiga -> Muchinga
Mambwe,Eastern,2021,44.0,52.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,71.0,83.0,15.0,69.0,53.0,24.0,78.0,45.0,46.0,42.0,57.5,49.2,Eastern,Mambwe,998302.0,501202.0,15168.0,300285.0,50052.0,116235.0,1981244.0,Eastern,Mambwe,matched,
Mansa,Luapula,2021,44.0,56.00000000000001,32.0,41.0,41.0,53.0,59.0,59.0,51.0,78.0,60.0,72.0,81.0,33.0,69.0,22.0,45.0,10.0,42.8,64.12,35.8,Luapula,Mansa,1548604.0,5570778.0,148524.0,1628523.0,1431466.0,228429.0,10556324.0,Luapula,Mansa Municipal Council,matched,council suffix removed: Mansa Municipal Council -> Mansa
Manyinga,North-Western,2021,44.0,7.000000000000001,32.0,41.0,41.0,53.0,59.0,59.0,51.0,88.0,43.0,45.0,89.0,73.0,11.0,71.0,45.0,20.0,33.0,60.88,44.0,North-Western,Manyinga,13617.0,492300.84,4196.0,1440334.0,1775.0,0.0,1952222.84,North Western,Manyinga,matched,province normalized: North Western -> North-Western
Masaiti,Copperbelt,2021,44.0,46.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,40.0,30.0,32.0,40.0,28.000000000000004,72.0,33.0,45.0,34.0,40.8,45.5,42.4,Copperbelt,Masaiti,4777724.0,532492.0,1840.0,770858.0,236815.0,-13464.0,6306265.0,Copperbelt,Masaiti,matched,
Mazabuka,Southern,2021,89.0,68.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,100.0,27.0,5.0,100.0,26.0,81.0,11.0,45.0,92.0,54.2,56.75,51.0,Southern,Mazabuka,11267865.0,3647692.0,763084.0,303515.0,1085331.0,1993.0,17069480.0,Southern,Mazabuka Municipal Council,matched,council suffix removed: Mazabuka Municipal Council -> Mazabuka
Mbala,Northern,2021,44.0,35.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,37.0,75.0,28.000000000000004,39.0,26.0,52.0,48.0,45.0,43.0,38.6,50.12,42.8,Northern,Mbala,442447.0,1658230.0,68617.0,387703.0,320972.0,0.0,2877969.0,Northern,Mbala Municipal Council,matched,council suffix removed: Mbala Municipal Council -> Mbala
Milengi,Luapula,2021,44.0,7.000000000000001,84.0,41.0,41.0,53.0,59.0,59.0,51.0,45.0,71.0,21.0,38.0,83.0,49.0,94.0,45.0,1.0,43.4,49.62,54.4,Luapula,Milengi,11026.0,389302.0,21715.0,15040.0,900.0,71722.0,509705.0,Luapula,Milenge,matched,district spelling normalized: Milenge -> Milengi
Mitete,Western,2021,44.0,7.000000000000001,84.0,41.0,41.0,53.0,59.0,59.0,51.0,87.0,37.0,68.0,87.0,91.0,2.0,76.0,45.0,46.0,43.4,62.62,52.0,Western,Mitete,6075.0,60676.0,400.0,2000.0,2843.0,360169.0,432163.0,Western,Mitete,matched,
Mkushi,Central,2021,44.0,34.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,92.0,80.0,71.0,93.0,46.0,15.0,34.0,45.0,91.0,38.4,69.75,46.2,Central,Mkushi,1147806.0,1346510.0,24180.0,4629278.0,465435.0,-5253.0,7607956.0,Central,Mkushi,matched,
Mongu,Western,2021,44.0,32.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,90.0,31.0,73.0,89.0,33.0,15.0,4.0,45.0,55.00000000000001,38.0,63.12,30.4,Western,Mongu,1511538.0,5031260.0,1383820.0,1950323.0,947313.0,918.0,10825172.0,Western,Mongu Municipal Council,matched,council suffix removed: Mongu Municipal Council -> Mongu
Monze,Southern,2021,44.0,67.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,92.0,40.0,49.0,88.0,18.0,43.0,8.0,45.0,88.0,45.0,61.38,40.4,Southern,Monze,1118737.0,2606724.0,243934.0,1039662.0,325328.0,95967.0,5430352.0,Southern,Monze,matched,
Mpika,Muchiga,2021,44.0,31.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,89.0,91.0,32.0,97.0,86.0,42.0,8.0,45.0,65.0,37.8,66.38,49.2,Muchinga,Mpika,439571.0,2486311.0,58592.0,1067803.0,777655.0,0.0,4829932.0,Muchinga,Mpika,matched,score province normalized: Muchiga -> Muchinga
Mpongwe,Copperbelt,2021,44.0,42.0,32.0,41.0,41.0,53.0,59.0,59.0,51.0,19.0,56.99999999999999,60.0,11.0,61.0,35.0,51.0,45.0,87.0,40.0,46.12,55.8,Copperbelt,Mpongwe,226181.0,1011185.0,41770.0,3346455.0,142335.0,0.0,4767926.0,Copperbelt,Mpongwe,matched,
Mporokoso,Northern,2021,44.0,22.0,84.0,41.0,41.0,53.0,59.0,59.0,51.0,24.0,67.0,67.0,27.0,63.0,38.0,44.0,45.0,1.0,46.4,50.88,38.2,Northern,Mporokoso,40030.0,733037.0,126590.0,0.0,57922.0,0.0,957579.0,Northern ,Mporokoso,matched,
Mpulungu,Northern,2021,44.0,22.0,84.0,41.0,41.0,53.0,59.0,59.0,51.0,24.0,75.0,41.0,12.0,63.0,37.0,5.0,45.0,30.0,46.4,46.75,36.0,Northern,Mpulungu,1176432.0,936341.0,364997.0,393430.0,0.0,0.0,2871200.0,Northern ,Mpulungu,matched,
